
Gurobi 11.0.3 (linux64, Java) logging started sáb 30 nov 2024 21:57:56 -03

Set parameter Username
Academic license - for non-commercial use only - expires 2025-10-10
Set parameter NonConvex to value 2
Set parameter TimeLimit to value 3600
Set parameter LogToConsole to value 0
Set parameter MIPGap to value 2.5029985070196468e-07
Set parameter Threads to value 2
Set parameter NodefileDir to value "/home/ps12398/experiment_epec/goalProgrammingMarcos/"
Set parameter NodefileStart to value 1
Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64)

CPU model: Intel(R) Xeon(R) CPU           X5650  @ 2.67GHz, instruction set [SSE2]
Thread count: 12 physical cores, 24 logical processors, using up to 2 threads

Optimize a model with 58003 rows, 39068 columns and 204825 nonzeros
Model fingerprint: 0xa44caea7
Model has 144 quadratic constraints
Variable types: 19466 continuous, 19602 integer (139 binary)
Coefficient statistics:
  Matrix range     [7e-03, 6e+05]
  QMatrix range    [7e-03, 2e+04]
  QLMatrix range   [1e+00, 2e+04]
  Objective range  [2e+00, 8e+06]
  Bounds range     [1e+00, 1e+08]
  RHS range        [1e+00, 9e+05]
  QRHS range       [5e-02, 5e-02]
Presolve removed 57813 rows and 38465 columns
Presolve time: 0.12s
Presolved: 637 rows, 749 columns, 6578 nonzeros
Presolved model has 2 SOS constraint(s)
Presolved model has 139 bilinear constraint(s)

Solving non-convex MIQCP

Variable types: 427 continuous, 322 integer (141 binary)
Found heuristic solution: objective 180950.82739

Root relaxation: objective 0.000000e+00, 77 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0    0.00000    0   63 180950.827    0.00000   100%     -    0s
     0     0    0.00000    0   67 180950.827    0.00000   100%     -    0s
     0     0    0.00000    0   61 180950.827    0.00000   100%     -    0s
     0     0    0.00000    0   61 180950.827    0.00000   100%     -    0s
H    0     0                    95579.806504    0.00000   100%     -    0s
     0     0    0.00000    0   61 95579.8065    0.00000   100%     -    0s
     0     2    0.00000    0   61 95579.8065    0.00000   100%     -    0s
*  718   687             275    76180.967771    0.00000   100%   3.8    0s
*  772   620             239    69906.817177    0.00000   100%   3.7    0s
H 1188   775                    68708.320498 13752.1374  80.0%   4.2    2s
H 1265   825                    65560.098761 13752.1374  79.0%   4.0    2s
H 1509   968                    63981.312657 13752.1374  78.5%   3.7    2s
H 1847  1184                    61513.903598 13752.1374  77.6%   3.7    3s
H 1894  1142                    61148.118012 13752.1374  77.5%   3.7    3s
* 2054  1162             314    60943.388139 13800.7428  77.4%   3.6    3s
* 3558  2437             238    60811.668204 14270.9419  76.5%   3.1    3s
  8052  6616 51876.5811  108   52 60811.6682 14846.6416  75.6%   3.1    5s
H 8597  6962                    60685.489515 14978.9745  75.3%   3.0    5s
*11408  9263             231    60280.400106 15230.7387  74.7%   2.9    6s
*15193 12480             257    60252.584356 15356.3340  74.5%   2.9    8s
*15194 12475             257    60215.261659 15356.3340  74.5%   2.9    8s
*15201 12473             257    60200.779620 15356.3340  74.5%   2.9    8s
*15202 12471             255    60180.631888 15356.3340  74.5%   2.9    8s
*16164 13160             218    60109.921068 15397.3353  74.4%   2.9    8s
*16166 13160             219    60109.676213 15397.3353  74.4%   2.9    8s
*16208 13325             189    60091.713300 15417.6995  74.3%   2.9    8s
*16212 13325             190    60088.390479 15417.6995  74.3%   2.9    8s
*16213 13325             190    60088.355880 15417.6995  74.3%   2.9    8s
*16215 13324             190    60087.530692 15417.6995  74.3%   2.9    8s
*17753 14519             208    60049.405477 15530.3783  74.1%   2.8    9s
*17754 14519             208    60049.316958 15530.3783  74.1%   2.8    9s
*17756 14508             208    60018.619543 15530.3783  74.1%   2.8    9s
*17757 14508             208    60018.555834 15530.3783  74.1%   2.8    9s
*17759 14507             207    60013.249688 15530.3783  74.1%   2.8    9s
*17760 14507             207    60013.151302 15530.3783  74.1%   2.8    9s
*17777 14507             211    60011.922312 15530.3783  74.1%   2.8    9s
 19802 16347 30077.6783   77   62 60011.9223 15678.6521  73.9%   2.8   10s
*20100 16472             222    59947.479650 15730.5362  73.8%   2.8   10s
*20190 16340             236    59424.836333 15739.0344  73.5%   2.8   10s
 33145 27106 50778.5065  113   55 59424.8363 16315.7609  72.5%   2.8   15s
 46730 38268 44500.9893   93   58 59424.8363 16740.7174  71.8%   2.8   20s
 58759 48218 48026.7471  121   51 59424.8363 17057.4669  71.3%   2.8   25s
 71671 58826 35086.8125   78   59 59424.8363 17372.6826  70.8%   2.8   30s
